"species","no_detections","no_countries","p_years_miss","p_years_pres","no_sampledyears"
"Chironomus anthracinus",1,1,98.1,1.9,1
"Chironomus bernensis",3,1,94.3,5.7,3
"Chironomus nudiventris",7,1,90.6,9.4,5
"Chironomus obtusidens",3,1,96.2,3.8,2
"Chironomus plumosus",199,8,41.5,58.5,31
"Chironomus riparius",262,6,34,66,35
"Chloroperla breviata",8,1,92.5,7.5,4
"Chloroperla susemicheli",1,1,98.1,1.9,1
"Chloroperla tripunctata",119,1,62.3,37.7,20
"Choroterpes picteti",38,3,64.2,35.8,19
"Chrysopilus cristatus",2,1,98.1,1.9,1
"Chrysopilus erythrophthalmus",1,1,98.1,1.9,1
"Chrysops caecutiens",2,1,96.2,3.8,2
"Cladopelma goetghebueri",34,1,67.9,32.1,17
"Cladotanytarsus mancus",4,2,94.3,5.7,3
"Cladotanytarsus vanderwulpi",7,1,92.5,7.5,4
"Clemnius decoratus",9,3,84.9,15.1,8
"Clinocera stagnalis",3,1,96.2,3.8,2
"Clinotanypus nervosus",309,5,35.8,64.2,34
"Cloeon dipterum",1051,11,26.4,73.6,39
"Cloeon simile",94,4,37.7,62.3,33
"Clytocerus ocellaris",3,1,94.3,5.7,3
"Coelostoma orbiculare",14,3,83,17,9
"Coenagrion ornatum",14,1,84.9,15.1,8
"Coenagrion puella",172,3,62.3,37.7,20
"Coenagrion pulchellum",16,1,83,17,9
"Cognettia glandulosa",1,1,98.1,1.9,1
"Colymbetes fuscus",14,4,79.2,20.8,11
"Colymbetes paykulli",1,1,98.1,1.9,1
"Conchapelopia melanops",1033,3,47.2,52.8,28
"Copelatus haemorrhoidalis",6,2,90.6,9.4,5
"Corbicula fluminalis",112,3,58.5,41.5,22
"Corbicula fluminea",478,6,45.3,54.7,29
"Cordulegaster bidentata",5,2,92.5,7.5,4
"Cordulegaster boltonii",597,8,50.9,49.1,26
"Cordulia aenea",11,4,81.1,18.9,10
"Corixa affinis",5,3,92.5,7.5,4
"Corixa dentipes",7,2,86.8,13.2,7
"Corixa panzeri",12,2,83,17,9
"Corixa punctata",33,4,64.2,35.8,19
"Corophium lacustre",1,1,98.1,1.9,1
"Corophium multisetosum",12,2,81.1,18.9,10
"Corynoneura coronata",20,1,73.6,26.4,14
"Corynoneura lobata",6,2,88.7,11.3,6
"Corynoneura scutellata",56,1,60.4,39.6,21
"Crangon crangon",6,1,88.7,11.3,6
"Crangonyx pseudogracilis",1283,4,52.8,47.2,25
"Crenobia alpina",58,4,60.4,39.6,21
"Cricotopus albiforceps",2,1,96.2,3.8,2
"Cricotopus algarum",1,1,98.1,1.9,1
"Cricotopus annulator",6,2,92.5,7.5,4
"Cricotopus bicinctus",147,6,34,66,35
"Cricotopus fuscus",5,2,90.6,9.4,5
"Cricotopus intersectus",19,1,73.6,26.4,14
"Cricotopus sylvestris",281,4,26.4,73.6,39
"Cricotopus triannulatus",13,1,84.9,15.1,8
"Cricotopus trifasciatus",11,3,84.9,15.1,8
"Cricotopus vierriensis",6,3,90.6,9.4,5
"Criodrilus lacuum",1,1,98.1,1.9,1
"Cristatella mucedo",3,3,94.3,5.7,3
"Crocothemis erythraea",19,2,81.1,18.9,10
"Crunoecia irrorata",63,5,64.2,35.8,19
"Crunoecia kempnyi",1,1,98.1,1.9,1
"Cryptochironomus defectus",1,1,98.1,1.9,1
"Culex pipiens",1,1,98.1,1.9,1
"Culiseta morsitans",1,1,98.1,1.9,1
