"name","nsite1","nsite2","trend","p.value","std.error","MCP1","taxonKey","MCP2","order","family","perc_range_coverage"
"Beraeodes minutus",34,89,-0.00899969276592379,1.04455548844863e-05,0.00202846991886054,1701886746550.52,5053153,5216096162473.2,"Trichoptera","Beraeidae",32.63
"Berdeniella freyi",1,2,0.00171360985928915,0.61704575699006,0.00338244937526868,NA,1643023,1049707923887.88,"Diptera","Psychodidae",NA
"Bithynia leachii",29,161,0.0230319972268006,3.35827644494115e-11,0.00341232332786127,1921924960383.51,5778074,4466447846857.85,"Littorinida","Bithyniidae",43.03
"Bithynia tentaculata",55,421,0.0142547192837911,6.01502952454397e-05,0.00354030047789931,2549402047544.24,2299854,46240968270741.3,"Littorinida","Bithyniidae",5.51
"Brachycentrus maculatus",28,54,0.0407817187781981,5.11960942667142e-14,0.00529641974943946,113334577521.124,7883062,1660005616084.62,"Trichoptera","Brachycentridae",6.83
"Brachycentrus subnubilus",20,144,0.00962074509749675,0.0508030736916927,0.00491281165180536,2959481781189.42,5054612,5926150234832.83,"Trichoptera","Brachycentridae",49.94
"Brachyptera risi",34,242,0.0171508717433706,0.00224224423749469,0.00559206208379926,2372134467237.87,2001474,6181506985175.25,"Plecoptera","Taeniopterygidae",38.37
"Brachytron pratense",3,16,0.0194200905651684,0.00142139711686055,0.0058141163375448,271794480455.408,1425146,12957679696455.1,"Odonata","Aeshnidae",2.1
"Branchiura sowerbyi",18,71,-0.00443860084341066,0.574667372144151,0.00790333051487506,1193440388870.44,2308574,62575169944938.8,"Tubificida","Naididae",1.91
"Brillia bifida",124,294,0.00498172195819277,0.0301680906313507,0.00229678814300367,757062663522.652,4519771,4793042389553.43,"Diptera","Chironomidae",15.8
"Brillia flavifrons",25,51,9.71779965258322e-05,0.976061603357273,0.00323709746088069,146479157311.084,1454588,2812957680185.62,"Diptera","Chironomidae",5.21
"Brillia longifurca",4,17,0.0124153212936864,0.131768876638998,0.00816009421166551,135928398910.176,1454604,3749696999353.14,"Diptera","Chironomidae",3.63
"Brychius elevatus",35,107,-0.000561813380868927,0.657105514676965,0.00126510803141304,1251891724903.46,4470318,5940149852754.36,"Coleoptera","Haliplidae",21.08
"Caenis horaria",31,211,0.000955269959491633,0.831597725722529,0.00449039939434558,2938893290541.42,5757628,22177072140566.1,"Ephemeroptera","Caenidae",13.25
"Caenis lactea",1,5,-0.0549387507559165,0.134076121203296,0.0350167202695992,106828403036.984,5757632,4214115794290.93,"Ephemeroptera","Caenidae",2.54
"Caenis luctuosa",61,440,0.0208472308882842,0.0115682905349512,0.0082452871525724,3882318452966.19,5757622,7582822894201.54,"Ephemeroptera","Caenidae",51.2
